"symbol","companyName","calculationPrice","open","openTime","close","closeTime","high","low","latestPrice","latestSource","latestTime","latestUpdate","latestVolume","iexRealtimePrice","iexRealtimeSize","iexLastUpdated","delayedPrice","delayedPriceTime","extendedPrice","extendedChange","extendedChangePercent","extendedPriceTime","previousClose","change","changePercent","iexMarketPercent","iexVolume","avgTotalVolume","iexBidPrice","iexBidSize","iexAskPrice","iexAskSize","marketCap","week52High","week52Low","ytdChange","primaryExchange","openSource","closeSource","highTime","highSource","lowTime","lowSource","oddLotDelayedPrice","oddLotDelayedPriceTime","previousVolume","volume","iexOpen","iexOpenTime","iexClose","iexCloseTime","peRatio","lastTradeTime","sector","esg"
"EFX","Equifax, Inc.","close",152.96,1590586200643,150.9,1590609601951,154.23,149.62,150.9,"Close","May 27, 2020",1590609601951,1808766,151,3,1590609593610,150.9,1590618600006,150.9,0,0,1590614841970,151.25,-0.35,-0.00231,0.021556594048137076,38789,991005,0,0,0,0,18316996500,164.77,103.01,0.07039,"New York Stock Exchange","official","official",1590618600006,"15 minute delayed price",1590600897460,"15 minute delayed price",150.985,1590609596902,1125308,0,,,151,1590609593610,67.74,1590609623836,"Commercial Services",28
"IT","Gartner, Inc.","close",122.77,1590586200842,122.88,1590609602126,123.72,120.34,122.88,"Close","May 27, 2020",1590609602126,357371,123,1,1590609593660,122.88,1590618600003,122.88,0,0,1590612097838,121.1,1.78,0.0147,0.024934871604019353,8911,565777,0,0,0,0,10957836288,171.78,76.91,-0.1899,"New York Stock Exchange","official","official",1590618600003,"15 minute delayed price",1590591048321,"15 minute delayed price",122.88,1590609600821,437217,0,,,123,1590609593660,38.32,1590609599977,"Commercial Services",29
"ZG","Zillow Group, Inc. Class A","tops",,,,,338000,327750,33.21,"IEX real time price","9:49:16 AM",1547736556387,,33.21,2,1547736556387,332600,94309241,,,,,,,,,304,0,33.25,100,33.5,149,6313724065,338000,0,0,"NASDAQ",,,,,,,,,,,,,,,,,"Commercial Services",30
"LBRDK","Liberty Broadband Corp.","close",133.31,1581345000920,135.46,1581368400227,135.71,133.31,135.46,"Close","February 10, 2020",1581368400227,397101,135.44,9,1581368397164,135.46,1581368773163,135.46,0,0,1581368773163,134.38,1.08,0.00804,0.08148808489527853,32359,540941,0,0,0,0,24640580380,137.23,86.07,0.079124,"NASDAQ",,,,,,,135.45,1581368399266,445217,0,,,,,210.15,1581368400227,"Communications",21
"TOL","Toll Brothers, Inc.","close",32,1590586200800,33,1590609601699,33.035,30.595,33,"Close","May 27, 2020",1590609601699,5174168,32.96,300,1590609596013,36.15,1590655903077,34.89,1.89,0.05727,1590660236764,30.13,2.87,0.09525,0.024916856197943323,128924,2574840,0,0,0,0,4182156000,49.31,13.28,-0.07305,"New York Stock Exchange","official","official",1590623969335,"15 minute delayed price",1590591041122,"15 minute delayed price",32.97,1590609597965,3280758,0,,,32.96,1590609596013,8.85,1590609597958,"Consumer Durables",21
"RACE","Ferrari NV","close",164.99,1590586200616,163.37,1590609601811,164.99,161.12,163.37,"Close","May 27, 2020",1590609601811,335604,163.39,82,1590609592322,164.1,1590654934441,163.63,0.26,0.00159,1590657403753,162.78,0.59,0.00362,0.04120928236850574,13830,271474,0,0,0,0,28684170835,180.95,127.73,-0.01838,"New York Stock Exchange","official","official",1590618600003,"15 minute delayed price",1590591963984,"15 minute delayed price",163.44,1590609594283,175488,0,,,163.39,1590609592322,40.03,1590609620052,"Consumer Durables",26
"HAS","Hasbro, Inc.","close",73.61,1590586200912,73.35,1590609600489,74.96,72.24,73.35,"Close","May 27, 2020",1590609600489,1076996,73.34,9,1590609593058,73.35,1590655170040,73.35,0,0,1590655170040,72.56,0.79,0.01089,0.02905581822030908,31293,1282327,0,0,0,0,10049756850,126.87,41.33,-0.29821,"NASDAQ","official","official",1590620963574,"15 minute delayed price",1590592553182,"15 minute delayed price",73.35,1590609598020,2309280,0,,,73.34,1590609593058,22.23,1590609599966,"Consumer Durables",13
"TSLA","Tesla, Inc.","close",820.08,1590586200918,820.23,1590609600885,827.71,785,820.23,"Close","May 27, 2020",1590609600885,11495227,820.26,98,1590609593316,816.6,1590655697774,808,-12.23,-0.01491,1590661128121,818.87,1.36,0.00166,0.008181656612783724,94050,15578951,0,0,0,0,152046855330,968.99,176.99,0.93386,"NASDAQ","official","official",1590623995393,"15 minute delayed price",1590591663369,"15 minute delayed price",820.44,1590609598028,8089736,0,,,820.26,1590609593316,-974.38,1590609597905,"Consumer Durables",31
"GM","General Motors Co.","close",28.53,1590586200798,27.79,1590609602150,28.83,26.91,27.79,"Close","May 27, 2020",1590609602150,14995338,27.805,100,1590609593404,27.81,1590654992011,27.6,-0.19,-0.00684,1590656402234,27.4,0.39,0.01423,0.014240492611770406,213541,16601252,0,0,0,0,39769713200,41.9,14.33,-0.23467000000000002,"New York Stock Exchange","official","official",1590623994823,"15 minute delayed price",1590590592371,"15 minute delayed price",27.77,1590609596120,18870479,0,,,27.805,1590609593404,8.4,1590609598555,"Consumer Durables",31
"HOG","Harley-Davidson, Inc.","close",25.34,1590586200777,24.83,1590609601822,25.6,23.89,24.83,"Close","May 27, 2020",1590609601822,5386426,24.88,200,1590609597484,24.85,1590623994246,24.9,0.07,0.00282,1590659471891,24.76,0.07,0.00283,0.049688326497300865,260579,4634323,0,0,0,0,3803285590,40.89,14.31,-0.33517,"New York Stock Exchange","official","official",1590623994246,"15 minute delayed price",1590591140264,"IEX real time price",24.89,1590609601070,7331372,0,,,24.88,1590609597484,10.66,1590609601817,"Consumer Durables",18
