symbol,companyName,open,close,high,low,latestPrice,latestVolume,previousClose,change,changePercent,avgTotalVolume,marketCap,week52High,week52Low,ytdChange,primaryExchange,previousVolume,volume,peRatio,sector
GES,"Guess?, Inc.",9.7,10.44,10.5,9.39,10.44,2283284,9.08,1.36,0.14978,1278823,706206492,23.58,3.64,-0.38372,New York Stock Exchange,2011839,0,7.02,Consumer Non-Durables
BSIG,"BrightSphere Investment Group, Inc.",8.95,8.81,9.05,8.7,8.81,668930,8.78,0.03,0.00342,575307,706929377,12.12,3.61,-0.09758,New York Stock Exchange,524795,0,3.8,Finance
AHT-F,"Ashford Hospitality Trust, Inc.",5.98,6.76,7,5.98,6.76,25440,5.76,1,0.17361,36436,710584160,24.05,2.63,-0.52189,New York Stock Exchange,11748,0,,Finance
REN,Resolute Energy Corporation,,,322000,315100,31.71,,,,,0,714351845,322000,0,0,New York Stock Exchange,,,,Energy Minerals
SXI,Standex International Corp.,56,57.84,58.34,55.82,57.84,71236,54.53,3.31,0.0607,81420,717759696,81.69,37.5,-0.2162,New York Stock Exchange,75563,0,23.31,Producer Manufacturing
OEC,Orion Engineered Carbons SA,10.39,11.78,11.81,10.39,11.78,1384959,9.88,1.9,0.19231,919159,718489294,21.87,5.93,-0.20049,New York Stock Exchange,1262970,0,8.24,Process Industries
AHH,"Armada Hoffler Properties, Inc.",8.85,9.25,9.25,8.68,9.25,646361,8.59,0.66,0.07683,593304,719326824,19.43,6.4,-0.42097,New York Stock Exchange,717255,0,22.32,Finance
UTL,UNITIL Corp.,48.55,48.24,48.613,47.14,48.24,70481,47.52,0.72,0.01515,66790,721675224,65.76,39.33,-0.20875,New York Stock Exchange,62430,0,21.89,Utilities
TPVY,TriplePoint Venture Growth BDC Corp.,23.25,23.5,23.875,23.325,23.5,6859,23.2,0.3,0.01293,10231,722531000,27.07,12.5,-0.06367,New York Stock Exchange,2580,0,,Finance
AHT-G,"Ashford Hospitality Trust, Inc.",6.06,6.89,6.97,6,6.89,76276,5.78,1.11,0.19204,39666,724249240,23.38,2.6,-0.48796,New York Stock Exchange,82687,0,,Finance
AHT-H,"Ashford Hospitality Trust, Inc.",6.2,6.9,7.03,6.24,6.9,37257,5.68,1.22,0.21479,35944,725300400,23.77,2.5,-0.47491,New York Stock Exchange,27329,0,,Finance
BOOT,"Boot Barn Holdings, Inc.",22.46,25.2,25.32,21.88,25.2,1245259,21.86,3.34,0.15279,1106559,726001920,48.11,8.03,-0.28651,New York Stock Exchange,1310319,0,15.03,Retail Trade
AGM,Federal Agricultural Mortgage Corp.,66.39,67.72,68.44,64.62,67.72,51821,64.34,3.38,0.05253,56980,726560499,88.46,40.05,-0.13907,New York Stock Exchange,60231,0,8.93,Finance
MH-D,Maiden Holdings Ltd.,8.6,8.59,8.6,8.4,8.59,2452,8.79,-0.2,-0.02275,5332,727734492,9.1,3.67,0.22395,New York Stock Exchange,5144,0,,Finance
RLGY,Realogy Holdings Corp.,5.91,6.31,6.31,5.65,6.31,3837959,5.7,0.61,0.10702,3485395,727997320,13.88,2.09,-0.24778,New York Stock Exchange,3418461,0,-1.62,Finance
DKL,Delek Logistics Partners LP,24.9,24.75,24.9,23.65,24.75,113757,24.36,0.39,0.01601,422311,728293500,33.69,5.51,-0.22219,New York Stock Exchange,103005,0,8.64,Industrial Services
FEAC=,Flying Eagle Acquisition Corp.,10.39,10.578,10.578,10.35,10.578,1842,,,,,729882000,0,0,0,New York Stock Exchange,,0,,Finance
KDMN,"Kadmon Holdings, Inc.",4.6,4.58,4.65,4.32,4.58,2761951,4.59,-0.01,-0.00218,2332744,732919080,5.5,1.63,-0.00438,New York Stock Exchange,2826068,0,-6.57,Health Technology
CUBI-D,"Customers Bancorp, Inc.",,,23.395,23.34,23.34,2079,23.34,0,0,1692,734509800,26.59,14.1,-0.0964,New York Stock Exchange,3048,0,,Finance
INSW-A,"International Seaways, Inc.",,,25.57,25.4,25.5,0,25.5,0,0,3055,735516900,26.44,17.61,-0.0275,New York Stock Exchange,202,0,,Transportation
HNGR,"Hanger, Inc.",18.83,19.47,19.51,18.19,19.47,198818,18.36,1.11,0.06046,205884,735827763,28.16,11.31,-0.23714,New York Stock Exchange,168719,0,38.7,Health Services
CUBI-C,"Customers Bancorp, Inc.",,,23.56,23.4,23.4,5280,23.35,0.05,0.00214,6199,736398000,26.76,13.5,-0.08736,New York Stock Exchange,9225,0,,Finance
AHT-I,"Ashford Hospitality Trust, Inc.",6.06,7.01,7.01,6.06,7.01,34085,5.68,1.33,0.23415,26243,736863160,23.75,2.25,-0.44325,New York Stock Exchange,29917,0,,Finance
FPI-B,"Farmland Partners, Inc.",23.39,23.2,23.44,23.08,23.2,18187,23.17,0.03,0.00129,19771,737059174,26.2,17.01,-0.07291,New York Stock Exchange,21623,0,,Finance
GLT,P.H. Glatfelter Co.,16.5,16.66,16.8,15.94,16.66,160413,15.98,0.68,0.04255,191610,738232922,19.03,9.44,-0.04805,New York Stock Exchange,209721,0,-37.9,Process Industries
LTM,LATAM Airlines Group SA,1.74,1.22,1.76,1.2,1.22,23611779,1.68,-0.46,-0.27381,3352044,739817760,12.15,1,-1.15511,New York Stock Exchange,15127755,0,3.96,Transportation
UIS,Unisys Corp.,11.93,11.76,11.93,11.47,11.76,540040,11.64,0.12,0.01031,693078,740527200,18.13,6.39,-0.00889,New York Stock Exchange,536397,0,-18.54,Technology Services
MH-C,Maiden Holdings Ltd.,8.76,8.75,8.825,8.65,8.75,18866,8.65,0.1,0.01156,17846,741289500,8.82,3.15,0.26876,New York Stock Exchange,31177,0,,Finance
CBB,"Cincinnati Bell, Inc.",14.77,14.72,14.82,14.7,14.72,580380,14.77,-0.05,-0.00339,871518,744302080,16.05,3.19,0.39851,New York Stock Exchange,666728,0,-8.83,Communications
DDS,"Dillard's, Inc.",30.87,31.9,33.26,30.87,31.9,849178,30.18,1.72,0.05699,833514,745748662,86.71,21.5,-0.51391,New York Stock Exchange,925836,0,-5.76,Retail Trade
AIR,AAR Corp.,20.32,21.27,21.325,19.91,21.27,546952,19.26,2.01,0.10436,368810,746591889,52.78,8.56,-0.42634,New York Stock Exchange,408416,0,16.93,Electronic Technology
CTS,CTS Corp.,22.98,23.22,23.33,22.7,23.22,245332,22.42,0.8,0.03568,183341,749074878,34.29,17.92,-0.19522,New York Stock Exchange,385984,0,26.57,Electronic Technology
RES,"RPC, Inc.",3.41,3.49,3.5,3.265,3.49,632205,3.37,0.12,0.03561,1182028,751257400,8.05,1.72,-0.30709,New York Stock Exchange,890652,0,-3,Industrial Services
HCC,"Warrior Met Coal, Inc.",14.95,14.7,15.04,14.16,14.7,1009411,14.48,0.22,0.01519,1076976,752165190,27.9,9.46,-0.29531,New York Stock Exchange,895624,0,3.55,Energy Minerals
ACH,Aluminum Corp. of China Ltd.,4.73,4.78,4.78,4.7,4.78,319143,4.94,-0.16,-0.03239,83335,754087064,9.2,4.61,-0.49769,New York Stock Exchange,185310,0,51.45,Non-Energy Minerals
RAD,Rite Aid Corp.,13.15,13.79,13.815,12.77,13.79,3544988,13.02,0.77,0.05914,4481726,754359886,23.88,5.04,-0.14606,New York Stock Exchange,3849633,0,-1.62,Retail Trade
CUBI-E,"Customers Bancorp, Inc.",,,24.01,23.3,24.01,1200,23.15,0.86,0.03715,3336,755594700,26.75,11.76,-0.03765,New York Stock Exchange,8109,0,,Finance
BBAR,Banco BBVA Argentina SA,3.76,3.71,3.805,3.53,3.71,1172553,3.72,-0.01,-0.00269,1145630,757656200,12.58,2.1,-0.34139,New York Stock Exchange,1201621,0,1.17,Finance
CALX,"Calix, Inc.",12.98,13.47,13.49,12.3,13.47,717992,12.77,0.7,0.05482,618229,762730668,13.49,5.6,0.73862,New York Stock Exchange,425684,0,-50.41,Electronic Technology
BKE,"The Buckle, Inc.",15.37,15.49,15.55,14.53,15.49,753342,14.88,0.61,0.04099,532588,765329920,28.52,11.76,-0.38931,New York Stock Exchange,968838,0,9.71,Retail Trade
KOS,Kosmos Energy Ltd.,1.95,1.89,1.95,1.79,1.89,7526655,1.91,-0.02,-0.01047,10660461,765810990,7.55,0.501,-0.68287,New York Stock Exchange,8963112,0,-4.12,Energy Minerals
OXM,"Oxford Industries, Inc.",45.4,45.66,46.219,44.76,45.66,313423,43.59,2.07,0.04749,151640,766046952,80.55,30.37,-0.35111,New York Stock Exchange,207162,0,11.17,Consumer Non-Durables
TPRE,Third Point Reinsurance Ltd.,7.9,8.1,8.11,7.8,8.1,475284,7.72,0.38,0.04922,531773,768537720,11.52,5.64,-0.18948,New York Stock Exchange,447880,0,-6.44,Finance
FOR,"Forestar Group, Inc.",15.41,16,16.07,15.28,16,109960,15.07,0.93,0.06171,124022,768582400,23.11,9.43,-0.17599,New York Stock Exchange,127769,0,15.71,Finance
CNR,"Cornerstone Building Brands, Inc.",5.65,6.1,6.14,5.65,6.1,923123,5.45,0.65,0.11927,629318,769521100,9.79,2.54,-0.16813,New York Stock Exchange,755665,0,-1.54,Producer Manufacturing
SYX,"Systemax, Inc.",20.14,20.58,20.63,19.91,20.58,128696,19.83,0.75,0.03782,78692,771134658,26.57,14,-0.14748,New York Stock Exchange,73289,0,16.55,Retail Trade
BFS,"Saul Centers, Inc.",33.03,33.43,33.74,31.85,33.43,51208,31.89,1.54,0.04829,57410,775576000,58.49,23.58,-0.32091,New York Stock Exchange,51755,0,21.34,Finance
HMLP-A,Höegh Lng Partners LP,23,23.45,23.45,22.51,23.45,7601,22.5,0.95,0.04222,27473,780556700,27.82,10.09,-0.06038,New York Stock Exchange,20229,0,,Transportation
GLP-A,Global Partners LP,22.5,22.99,22.992,22.395,22.99,3434,22.49,0.5,0.02223,7826,781568040,27.87,7.5,-0.12377,New York Stock Exchange,4240,0,,Distribution Services
DRD,DRDGOLD Ltd.,8.67,9.15,9.19,8.502,9.15,412033,9.01,0.14,0.01554,569396,782429383,10.49,1.72,0.75174,New York Stock Exchange,389506,0,56.9,Non-Energy Minerals
STC,Stewart Information Services Corp.,32.66,33.05,33.3,31.53,33.05,152223,31.7,1.35,0.04259,159269,782719845,44.14,20.26,-0.14831,New York Stock Exchange,159808,0,8.62,Finance
CPG,Crescent Point Energy Corp.,1.46,1.48,1.49,1.4,1.48,2279941,1.47,0.01,0.0068,2194113,783364000,4.84,0.5103,-0.6665,New York Stock Exchange,2809835,0,-0.31,Energy Minerals
KYN,Kayne Anderson MLP/Midstream Investment Co.,6.28,6.2,6.35,5.95,6.2,1091622,6.13,0.07,0.01142,1166226,783977600,16.09,1,-0.54668,New York Stock Exchange,1077179,0,-1.79,Finance
GBX,"Greenbrier Cos., Inc.",22.5,24.08,24.15,22.06,24.08,942526,21.86,2.22,0.10156,546034,786645440,34.3,12.89,-0.16294,New York Stock Exchange,842885,0,10.96,Producer Manufacturing
EB,"Eventbrite, Inc.",8.86,9.1,9.21,8.26,9.1,1342114,8.59,0.51,0.05937,1797756,792840376,22.9,5.71,-0.49303,New York Stock Exchange,945215,0,-3.77,Technology Services
BRBR,"BellRing Brands, Inc.",20.13,20.21,20.49,19.47,20.21,653022,19.91,0.3,0.01507,488880,796852026,24.03,13.56,-0.03833,New York Stock Exchange,228032,0,10.32,Health Technology
FBK,FB Financial Corp.,24.9,24.94,24.97,24.08,24.94,154456,23.72,1.22,0.05143,140854,800120092,40.33,14.38,-0.32627,New York Stock Exchange,226613,0,11.93,Finance
NXRT,"NexPoint Residential Trust, Inc.",33.59,32.94,33.59,32.195,32.94,197781,32.7,0.24,0.00734,263358,802837825,52.87,21.06,-0.26706,New York Stock Exchange,262069,0,6.08,Finance
ANF,Abercrombie & Fitch Co.,13.2,13.05,13.34,12.3,13.05,5141632,12.66,0.39,0.03081,2556827,803849985,25.74,7.42,-0.21919,New York Stock Exchange,3181762,0,19.81,Retail Trade
AIC,Arlington Asset Investment Corp.,21.83,21.84,21.84,21.84,21.84,450,21.5,0.34,0.01581,2106,804057072,25,6.3,-0.07869,New York Stock Exchange,4899,0,,Finance
EVH,"Evolent Health, Inc.",9,9.42,9.59,8.92,9.42,1455624,8.74,0.68,0.0778,1147094,805173558,14.55,3.5,0.1096,New York Stock Exchange,911786,0,-2.38,Commercial Services
IPOC=,Social Capital Hedosophia Holdings Corp. III,10.37,10.33,10.37,10.33,10.33,320388,,,,,805740000,0,0,0,New York Stock Exchange,,0,,Finance
PRA,ProAssurance Corp.,14.73,15.02,15.16,14.45,15.02,461434,14.37,0.65,0.04523,477218,808744390,42.03,12.67,-0.53937,New York Stock Exchange,400961,0,-15.36,Finance
DAVA,Endava Plc,49.14,48.45,49.26,47.58,48.45,200260,48.3,0.15,0.00311,144410,808801916,56.76,27.21,0.03841,New York Stock Exchange,206639,0,87.38,Technology Services
FPAC,Far Point Acquisition Corp.,10.29,10.27,10.34,10.25,10.27,1376538,10.23,0.04,0.00391,679392,811971875,11.75,9.86,-0.00189,New York Stock Exchange,4754,0,438.89,Finance
GLOP-B,GasLog Partners LP,17.15,17.41,17.48,17.2,17.41,26342,17.15,0.26,0.01516,13121,812502067,25.54,5.5,-0.28284,New York Stock Exchange,15346,0,,Transportation
GLOP-C,GasLog Partners LP,17.74,17.42,17.74,17.25,17.42,23302,17.25,0.17,0.00986,23325,812968754,25.06,5.23,-0.27734,New York Stock Exchange,10124,0,,Transportation
TCRW,"THL Credit, Inc.",23.49,23.2,23.49,23,23.2,3093,23,0.2,0.0087,3471,818922880,27.04,16.05,-0.1282,New York Stock Exchange,4517,0,,Finance
UBP-K,"Urstadt Biddle Properties, Inc.",20.5,20.5,20.915,20.375,20.5,5379,20.37,0.13,0.00638,6795,821250500,21,19.68,0.00638,New York Stock Exchange,7537,0,,Finance
TCRZ,"THL Credit, Inc.",22.95,23.3,23.31,23,23.3,3728,22.84,0.46,0.02014,4802,822452720,25.66,13,-0.05596,New York Stock Exchange,4076,0,,Finance
AIW,Arlington Asset Investment Corp.,22.41,22.44,22.44,22.275,22.44,2416,22.41,0.03,0.00134,1583,826146552,25,6.42,-0.08606,New York Stock Exchange,1950,0,,Finance
TALO,"Talos Energy, Inc.",12.32,12.68,12.7,11.74,12.68,392951,12.28,0.4,0.03257,503388,828540364,31.34,5,-0.55113,New York Stock Exchange,482843,0,2.18,Energy Minerals
STAR,"iStar, Inc.",10.9,10.85,11.05,10.4,10.85,841135,10.49,0.36,0.03432,704236,829965325,17.5,5.48,-0.21898,New York Stock Exchange,595850,0,2.38,Finance
FPAC=,Far Point Acquisition Corp.,10.31,10.51,10.53,10.31,10.51,2100,,,,,830946875,10.45,9.34,0,New York Stock Exchange,,0,,Finance
EFC-A,"Ellington Financial, Inc.",19.29,19,19.1,18.92,19,3820,19,0,0,10248,831818100,19.84,17.68,-0.0031,New York Stock Exchange,16724,0,,Finance
GRC,The Gorman-Rupp Co.,31.53,31.9,32.205,31.2,31.9,66277,30.75,1.15,0.0374,63748,832318850,39.6,21.49,-0.12,New York Stock Exchange,55378,0,24.44,Producer Manufacturing
PLOW,"Douglas Dynamics, Inc.",36.09,36.61,36.71,35.23,36.61,142054,34.97,1.64,0.0469,120326,834561560,56.89,24.12,-0.2926,New York Stock Exchange,190046,0,21.53,Producer Manufacturing
