symbol,companyName,open,close,high,low,latestPrice,latestVolume,previousClose,change,changePercent,avgTotalVolume,marketCap,week52High,week52Low,ytdChange,primaryExchange,previousVolume,volume,peRatio,sector,esg_category
BP,BP Plc,24.08,23.93,24.18,23.48,23.93,9458226,23.26,0.67,0.0288,12605443,80157391726,42.7,15.51,-0.3421,New York Stock Exchange,10086795,0,19.89,Energy Minerals,2
JPM-C,JPMorgan Chase & Co.,27.22,27.29,27.3,27.11,27.29,118306,27.17,0.12,0.00442,165676,83153175800,28.83,22.45,-0.02618,New York Stock Exchange,99637,0,,Finance,2
DEO,Diageo Plc,142.73,144.09,144.1,142.095,144.09,345064,141.33,2.76,0.01953,523590,84085160400,176.22,100.52,-0.12117,New York Stock Exchange,333652,0,21.96,Consumer Non-Durables,2
BA,The Boeing Co.,149.65,149.52,149.65,141.24,149.52,31691275,144.73,4.79,0.0331,33127866,84377874000,391,89,-0.5118,New York Stock Exchange,30338250,0,-24.71,Electronic Technology,1
DCUE,"Dominion Energy, Inc.",,,103.96,102.39,102.83,134484,,,,,86300180330,0,0,0,New York Stock Exchange,,0,,Utilities,1
LMT,Lockheed Martin Corp.,376.78,397.12,397.12,376.575,397.12,1985839,372.2,24.92,0.06695,1402540,111366347200,442.53,266.11,0.07775,New York Stock Exchange,1596081,0,17.92,Electronic Technology,2
DHR,Danaher Corp.,157.4,160.78,160.78,155.61,160.78,3129541,158.58,2.2,0.01387,3558441,113674675600,170.64,119.6,0.05817,New York Stock Exchange,3097561,0,41.86,Health Technology,2
ACN,Accenture Plc,198.38,199.93,199.95,196.21,199.93,1950439,196.4,3.53,0.01797,2332792,127360808110,216.39,137.15,-0.03383,New York Stock Exchange,2408717,0,25.62,Technology Services,2
MDT,Medtronic Plc,97.4,96,98.14,94.91,96,6171144,97.15,-1.15,-0.01184,5742622,128742720000,122.15,72.13,-0.17314,New York Stock Exchange,7086461,0,26.87,Health Technology,2
CVX,Chevron Corp.,94.68,93.9,94.69,92.11,93.9,7818411,93.3,0.6,0.00643,11300712,175309422000,127,51.6,-0.21627,New York Stock Exchange,9429980,0,45.74,Energy Minerals,3
TM,Toyota Motor Corp.,126.41,126.81,126.97,124.84,126.81,330230,124.11,2.7,0.02175,197110,175388060311,145.41,108.01,-0.08525,New York Stock Exchange,378831,0,7.91,Consumer Durables,2
BML-L,Bank of America Corp.,21.67,21.6,21.71,21.31,21.6,40543,21.46,0.14,0.00652,44559,187393176000,24.96,15.95,-0.09458,New York Stock Exchange,30399,0,,Finance,2
VZ,"Verizon Communications, Inc.",54.61,55.14,55.22,54.43,55.14,17052899,54.3,0.84,0.01547,15544714,228169320000,62.22,48.84,-0.08623,New York Stock Exchange,20830542,0,12.41,Communications,2
JPM,JPMorgan Chase & Co.,102,101.37,102.58,98.8,101.37,39312188,95.82,5.55,0.05792,23932798,308876417400,141.1,76.91,-0.21688,New York Stock Exchange,41233949,0,11.42,Finance,2
WMT,"Walmart, Inc.",123.97,122.48,124.49,121.03,122.48,9591868,123.86,-1.38,-0.01114,9267298,347071576000,133.38,100.6,0.01936,New York Stock Exchange,7910182,0,23.15,Retail Trade,1
USB-A,U.S. Bancorp,784.87,777,785,770,777,5619,770,7,0.00909,648,1170387330000,910,650,-0.10921,New York Stock Exchange,218,0,,Finance,2
BAC-L,Bank of America Corp.,1360,1362.27,1363.13,1349,1362.27,10899,1360,2.27,0.00167,10160,11818523234700,1610,1050,-0.05683,New York Stock Exchange,4361,0,,Finance,2
BIOX,Bioceres SA Sponsored ADR,,,,,,0,,,,0,,0,0,0,New York Stock Exchange,,,,Commercial Services,2
EPE,EP Energy Corp. Class A,,,8970,8000,,0,,,,0,,8970,0,0,New York Stock Exchange,,,,Energy Minerals,3
FCI,FirstCaribbean International Bank Ltd.,,,,,,0,,,,,,0,0,0,New York Stock Exchange,,0,,Finance,2
AFSI-D,AmTrust Financial Services Inc Depositary Shs Repr 1/40th 7 1/2 % Non-Cum Pfd Shs Series D,,,148654,145000,,0,,,,0,,148654,0,0,New York Stock Exchange,,,,Finance,1
LOAK,Live Oak Acquisition Corp.,,,,,,0,,,,,,0,0,0,New York Stock Exchange,,0,,Finance,2
PRMI,"Priam Properties, Inc.",,,,,,0,,,,,,0,0,0,New York Stock Exchange,,0,,Finance,3
OMAD+,One Madison Corp Warrant,,,,,,0,,,,0,,0,0,0,New York Stock Exchange,,,,Finance,2
HCFT-A,Hunt Companies Finance Trust Inc Cum Conv Red Perp Pfd Registered Shs Series A,,,250900,250400,,0,,,,0,,250900,0,0,New York Stock Exchange,,,,Finance,2
ZEK,Zekelman Industries Inc. Class A,,,,,,0,,,,0,,0,0,0,New York Stock Exchange,,,,Non-Energy Minerals,2
RRTS^#,"Roadrunner Transportation Systems, Inc. Rights 2018-28.01.19 When Issued for Shares",,,,,,0,,,,0,,0,0,0,New York Stock Exchange,,,,Transportation,3
SJI920,"South Jersey Industries, Inc.",,,,,,0,,,,,,0,0,0,New York Stock Exchange,,0,,Utilities,3
NEEXU,"NextEra Energy, Inc.",,,,,,0,,,,,,0,0,0,New York Stock Exchange,,0,,Utilities,2
SSY,"SunLink Health Systems, Inc.",0.8,0.82,0.8391,0.8,0.82,8897,0.795,0.025,0.03145,67542,5657442,1.65,0.6001,-0.24925,NYSE American,68414,0,-2.14,Health Services,2
CPHI,"China Pharma Holdings, Inc.",0.45,0.44,0.46,0.435,0.44,874219,0.4622,-0.0222,-0.04803,1390464,19175200,1.4,0.2121,0.78527,NYSE American,1004699,0,-0.92,Health Technology,2
